STATION,YEAR,BOARDS,ALIGHTS
Mokena,1983,382,370
New Lenox,1983,301,292
Joliet,1983,299,278
Brainerd,1983,123,101
91st Street (Beverly Hills),1983,478,480
95th Street (Beverly Hills),1983,722,812
99th Street (Beverly Hills),1983,614,688
103rd Street (Beverly Hills),1983,1085,1151
107th Street (Beverly Hills),1983,435,413
111th Street (Morgan Park),1983,766,753
115th Street (Morgan Park),1983,215,185
119th Street,1983,424,405
123rd Street,1983,65,55
Prairie Street,1983,79,87
Union Station,1983,32834,33444
Wrightwood,1983,130,128
Ashburn,1983,244,239
Oak Lawn,1983,443,435
Chicago Ridge,1983,227,223
Worth,1983,204,201
Palos Park,1983,63,62
143rd Street (Orland Park),1983,135,133
Summit,1983,44,54
Willow Springs,1983,84,72
Lemont,1983,130,135
Lockport,1983,55,60
Halsted Street,1983,36,63
Western Avenue (18th),1983,116,159
Cicero,1983,276,332
LaVergne,1983,235,209
Berwyn,1983,852,899
Harlem Avenue,1983,680,591
Riverside,1983,531,517
Hollywood,1983,152,143
Brookfield,1983,708,712
Congress Park,1983,129,128
LaGrange Road,1983,1496,1413
Stone Avenue (LaGrange),1983,1017,978
Western Springs,1983,1022,990
Highlands,1983,210,219
Hinsdale,1983,1155,1096
West Hinsdale,1983,338,355
Clarendon Hills,1983,1078,997
Westmont,1983,1305,1263
Fairview Avenue (Downers Grove),1983,598,481
Main Street (Downers Grove),1983,1830,1816
Belmont,1983,1204,1172
Lisle,1983,2330,2176
Naperville,1983,2571,2399
Aurora,1983,834,837
Kedzie,1983,42,56
Oak Park (Marion Street),1983,344,430
River Forest,1983,127,104
Maywood,1983,87,71
Melrose Park,1983,101,120
Bellwood,1983,248,228
Berkeley,1983,201,204
Elmhurst,1983,1521,1476
Villa Park,1983,1289,1249
Lombard,1983,1418,1317
Glen Ellyn,1983,1971,1951
College Avenue,1983,838,834
Wheaton,1983,1770,1864
Winfield,1983,341,367
West Chicago,1983,371,383
Geneva,1983,872,928
Western Avenue (Grand),1983,294,270
Hanson Park,1983,54,58
Galewood,1983,202,198
Mars,1983,75,77
Mont Clare,1983,314,349
Elmwood Park,1983,466,502
River Grove,1983,222,198
Franklin Park,1983,446,453
Mannheim,1983,49,51
Bensenville,1983,439,444
Wood Dale,1983,497,518
Itasca,1983,444,431
Medinah,1983,194,275
Roselle,1983,1455,1362
Schaumburg,1983,480,494
Hanover Park,1983,738,720
Bartlett,1983,669,735
National Street,1983,132,143
Elgin,1983,390,385
Ogilvie Transportation Center,1983,32943,33482
Clybourn,1983,382,413
Irving Park,1983,175,179
Jefferson Park,1983,441,486
Gladstone Park,1983,81,87
Norwood Park,1983,218,215
Edison Park,1983,383,366
Park Ridge,1983,908,859
Dee Road,1983,397,361
Des Plaines,1983,1145,1188
Cumberland,1983,685,641
Mount Prospect,1983,2146,2134
Arlington Heights,1983,2764,2701
Arlington Park,1983,1430,1417
Palatine,1983,1632,1543
Barrington,1983,1564,1527
Fox River Grove,1983,209,203
Cary,1983,457,451
Crystal Lake,1983,907,907
Woodstock,1983,166,165
Harvard,1983,84,101
McHenry,1983,101,101
Healy,1983,226,215
Grayland,1983,78,81
Mayfair,1983,53,66
Forest Glen,1983,73,78
Edgebrook,1983,197,191
Morton Grove,1983,451,443
Golf,1983,131,127
Glenview,1983,1218,1181
Northbrook,1983,1213,1243
Deerfield,1983,1185,1204
Lake Forest (West),1983,193,183
Libertyville,1983,702,718
Grayslake,1983,196,196
Round Lake,1983,317,329
Long Lake,1983,45,43
Ingleside,1983,15,27
Fox Lake,1983,405,428
Ravenswood,1983,307,305
Rogers Park,1983,464,468
Main Street (Evanston),1983,481,529
Davis Street (Evanston),1983,565,569
Central Street (Evanston),1983,771,759
Wilmette,1983,1175,1120
Kenilworth,1983,444,433
Indian Hill,1983,356,326
Winnetka,1983,673,635
Hubbard Woods,1983,511,450
Glencoe,1983,748,717
Braeside,1983,301,285
Ravinia,1983,366,292
Highland Park,1983,970,963
Highwood,1983,230,209
Fort Sheridan,1983,311,300
Lake Forest,1983,644,632
Lake Bluff,1983,307,281
Great Lakes,1983,76,69
North Chicago,1983,175,161
Waukegan,1983,553,577
Zion,1983,81,85
Winthrop Harbor,1983,21,10
Kenosha,1983,142,146
Load between Hegewisch and Hammond,1983,3091,3102
67th St.,1983,24,2
"99th Street, Longwood",1983,24,23
Givens,1983,27,44
Western Avenue,1983,19,21
Halsted Street,1983,2,0
Brighton Park,1983,3,4
Glenn,1983,51,60
Lockport/5th,1983,26,11
Clyde,1983,131,157
Hermosa,1983,101,105
Cragin,1983,111,93
Hartland,1983,7,5
Rondout,1983,17,17
Wilson Road,1983,14,14
Abbott Platform,1983,14,17
Stony Island,1979,160,0
Bryn Mawr,1979,245,0
South Shore,1979,448,0
Windsor Park,1979,375,0
Cheltenham (79th Street),1979,372,0
83rd Street,1979,539,0
87th Street,1979,321,0
93rd Street (South Chicago),1979,912,0
State Street,1979,129,0
Stewart Ridge,1979,121,0
West Pullman,1979,121,0
Racine Avenue,1979,98,0
Ashland Avenue,1979,292,0
Burr Oak,1979,480,0
Blue Island,1979,544,0
Millennium Station,1979,16519,0
Van Buren Street,1979,6942,0
Roosevelt Road,1979,649,0
18th Street,1979,48,0
McCormick Place,1979,333,0
27th Street,1979,137,0
47th Street (Kenwood),1979,39,0
53rd Street (Hyde Park),1979,928,0
55th-56th-57th Street,1979,796,0
59th Street (University of Chicago),1979,1152,0
63rd Street,1979,124,0
75th Street (Grand Crossing),1979,23,0
79th Street (Chatham),1979,77,0
83rd Street (Avalon Park),1979,139,0
87th Street (Woodruff),1979,62,0
91st Street (Chesterfield),1979,53,0
95th Street (Chicago State University),1979,39,0
103rd Street (Rosemoor),1979,72,0
107th Street,1979,33,0
111th Street,1979,76,0
Kensington (115th Street),1979,1079,0
Riverdale,1979,935,0
Ivanhoe,1979,1855,0
147th Street (Sibley Boulevard),1979,1369,0
Harvey,1979,2166,0
Hazel Crest,1979,809,0
Calumet,1979,850,0
Homewood,1979,2367,0
Flossmoor,1979,1786,0
Olympia Fields,1979,280,0
211th Street (Lincoln Highway),1979,1706,0
Matteson,1979,1057,0
Richton Park,1979,1690,0
University Park,1979,711,0
LaSalle Street,1979,12704,0
Gresham,1979,76,0
Longwood (95th Street),1979,61,0
Washington Heights,1979,61,0
Blue Island (Vermont Street),1979,920,0
Robbins,1979,48,0
Midlothian,1979,894,0
Oak Forest,1979,1138,0
Tinley Park,1979,1213,0
80th Avenue (Tinley Park),1979,616,0
Mokena,1979,371,0
New Lenox,1979,313,0
Joliet,1979,503,0
Brainerd,1979,311,0
91st Street (Beverly Hills),1979,627,0
95th Street (Beverly Hills),1979,1039,0
99th Street (Beverly Hills),1979,730,0
103rd Street (Beverly Hills),1979,1432,0
107th Street (Beverly Hills),1979,447,0
111th Street (Morgan Park),1979,1030,0
115th Street (Morgan Park),1979,329,0
119th Street,1979,437,0
123rd Street,1979,131,0
Prairie Street,1979,113,0
Union Station,1979,43231,0
Wrightwood,1979,141,0
Ashburn,1979,339,0
Oak Lawn,1979,605,0
Chicago Ridge,1979,226,0
Worth,1979,213,0
Palos Park,1979,111,0
143rd Street (Orland Park),1979,237,0
Summit,1979,58,0
Willow Springs,1979,82,0
Lemont,1979,122,0
Lockport,1979,65,0
Halsted Street,1979,73,0
Western Avenue (18th),1979,285,0
Cicero,1979,558,0
LaVergne,1979,271,0
Berwyn,1979,1097,0
Harlem Avenue,1979,659,0
Riverside,1979,658,0
Hollywood,1979,207,0
Brookfield,1979,858,0
Congress Park,1979,151,0
LaGrange Road,1979,1816,0
Stone Avenue (LaGrange),1979,1334,0
Western Springs,1979,1329,0
Highlands,1979,281,0
Hinsdale,1979,1280,0
West Hinsdale,1979,393,0
Clarendon Hills,1979,1120,0
Westmont,1979,1554,0
Fairview Avenue (Downers Grove),1979,724,0
Main Street (Downers Grove),1979,2529,0
Belmont,1979,1498,0
Lisle,1979,2494,0
Naperville,1979,3033,0
Aurora,1979,1031,0
Kedzie,1979,91,0
Oak Park (Marion Street),1979,479,0
River Forest,1979,131,0
Maywood,1979,117,0
Melrose Park,1979,173,0
Bellwood,1979,338,0
Berkeley,1979,254,0
Elmhurst,1979,2068,0
Villa Park,1979,1562,0
Lombard,1979,1686,0
Glen Ellyn,1979,2506,0
College Avenue,1979,975,0
Wheaton,1979,2167,0
Winfield,1979,369,0
West Chicago,1979,499,0
Geneva,1979,1126,0
Western Avenue (Grand),1979,581,0
Hanson Park,1979,159,0
Galewood,1979,333,0
Mars,1979,158,0
Mont Clare,1979,439,0
Elmwood Park,1979,772,0
River Grove,1979,382,0
Franklin Park,1979,791,0
Mannheim,1979,68,0
Bensenville,1979,802,0
Wood Dale,1979,698,0
Itasca,1979,655,0
Medinah,1979,294,0
Roselle,1979,2571,0
Hanover Park,1979,1329,0
Bartlett,1979,1166,0
National Street,1979,362,0
Elgin,1979,597,0
Ogilvie Transportation Center,1979,44694,0
Clybourn,1979,1078,0
Irving Park,1979,345,0
Jefferson Park,1979,804,0
Gladstone Park,1979,106,0
Norwood Park,1979,458,0
Edison Park,1979,685,0
Park Ridge,1979,1639,0
Dee Road,1979,621,0
Des Plaines,1979,2091,0
Cumberland,1979,981,0
Mount Prospect,1979,2933,0
Arlington Heights,1979,3851,0
Arlington Park,1979,1969,0
Palatine,1979,2343,0
Barrington,1979,2217,0
Fox River Grove,1979,287,0
Cary,1979,619,0
Crystal Lake,1979,1173,0
Woodstock,1979,342,0
Harvard,1979,136,0
McHenry,1979,164,0
Healy,1979,448,0
Grayland,1979,171,0
Mayfair,1979,135,0
Forest Glen,1979,158,0
Edgebrook,1979,394,0
Morton Grove,1979,752,0
Golf,1979,227,0
Glenview,1979,1874,0
Northbrook,1979,1681,0
Deerfield,1979,1722,0
Lake Forest (West),1979,265,0
Libertyville,1979,1084,0
Grayslake,1979,344,0
Round Lake,1979,518,0
Long Lake,1979,78,0
Ingleside,1979,33,0
Fox Lake,1979,675,0
Ravenswood,1979,562,0
Rogers Park,1979,724,0
Main Street (Evanston),1979,845,0
Davis Street (Evanston),1979,1110,0
Central Street (Evanston),1979,1068,0
Wilmette,1979,1483,0
Kenilworth,1979,700,0
Indian Hill,1979,488,0
Winnetka,1979,921,0
Hubbard Woods,1979,553,0
Glencoe,1979,903,0
Braeside,1979,387,0
Ravinia,1979,432,0
Highland Park,1979,1417,0
Highwood,1979,368,0
Fort Sheridan,1979,401,0
Lake Forest,1979,999,0
Lake Bluff,1979,348,0
Great Lakes,1979,119,0
North Chicago,1979,227,0
Waukegan,1979,876,0
Zion,1979,130,0
Winthrop Harbor,1979,13,0
Kenosha,1979,267,0
67th St.,1979,27,0
"99th Street, Longwood",1979,52,0
Givens,1979,46,0
Western Avenue,1979,16,0
Halsted Street,1979,4,0
Brighton Park,1979,15,0
Glenn,1979,106,0
Lockport/5th,1979,19,0
Clyde,1979,208,0
Hermosa,1979,228,0
Cragin,1979,232,0
Hartland,1979,2,0
Ringwood,1979,8,0
Richmond,1979,9,0
Rondout,1979,36,0
Wilson Road,1979,19,0
Spring Grove,1979,2,0
Solon Mills,1979,3,0
"Zenda, Wisconsin",1979,12,0
"Walworth, Wisconsin",1979,12,0
